,Title,Synopsis,Subject,ISBN
89,Lewis Hamilton: The Biography (Paperback),[],sports-leisure,9781789460926
90,The Inner Game of Tennis: The Ultimate Guide to the Mental Side of Peak Performance (Paperback),"[<p><b>Improve your game and discover your true potential by increasing your concentration, willpower and confidence.</b><br/><br/><b>    Described by Billie Jean King as her 'tennis bible', Timothy Gallwey's multi-million bestseller, including an introduction from acclaimed sports psychologist Geoff Beattie, has been a phenomenon for players of all abilities since it was first published in 1972.</b><br/><br/>  Instead of concentrating on how to improve your technique, it starts from the understanding that 'every game is composed of two parts, an outer game and an inner game'. The former is played against opponents on the court, but the latter is a battle within ourselves as we try and overcome self-doubt and anxiety. It is often won or lost before a ball has been hit.<br/><br/>  Gallwey's revolutionary approach, built on a foundation of Zen thinking and humanistic psychology, will teach you how to develop your concentration, work on your gamesmanship and help you break bad habits. You will also learn how to trust yourself on the court and how to maintain clarity of mind throughout the match, giving you a clear psychological advantage over your opponent.<br/><br/><b>  Whether you are an amateur or a pro, <i>The Inner Game of Tennis</i> is essential reading for overcoming the self-doubt, nervousness, and lapses of concentration that can keep a player from winning. It is guaranteed to change the way you play tennis forever.</b></p>]",sports-leisure,9781447288503
91,"Arlott, Swanton and the Soul of English Cricket (Paperback)","[<p><strong>Winner of <a href=""/category/cultural-highlights/book-awards/the-sports-book-awards""><i>The Telegraph </i>Sports Book Awards Cricket Book of the Year 2019</a></strong></p>, <p>A fascinating account of how two BBC broadcasters battled for the soul of English cricket during a time of great social change</p>, <p>For more than a quarter of a century after the Second World War, as the BBC tightened its grip on the national consciousness, two of the most famous English voices were commentators on games of cricket. John Arlott and E.W. ('Jim') Swanton transformed the broadcasting of the nation's summer game into a national institution.</p>, <p>For any cricket follower in his fifties or older, just the mention of their names immediately evokes a flood of memories. Swanton was born into a middle-class family and privately educated; Arlott was the son of a working-class council employee, educated at state schools until he left at the age of sixteen. Because of their strong personalities and distinctive voices - Swanton's crisp and upper-class, Arlott's with its Hampshire burr - each had a loyal following in the post-war years, when England's class system had a slot for almost everyone.</p>, <p>Within a few minutes of the start of a conversation, it would be possible to identify the speaker as an Arlott or a Swanton man. Arlott and Swanton never grew to like each other, but both typified the contrasting aspects of post-war Britain and the way both it and the game they loved was to change. As England moved from a class-based to a more egalitarian society, nothing stayed the same - including professional cricket.</p>, <p>Wise, lively and filled with rich social and sporting history, <em>Arlott, Swanton and the Soul of English Cricket</em> shows how these two very different men battled to save the soul of the game as it entered a new era.</p>]",sports-leisure,9781408895375
92,My Turn: The Autobiography (Paperback),[],sports-leisure,9781509813926
93,Play Better Golf: The Only Golf Instruction Manual You Will Ever Need To Buy (Paperback),[],sports-leisure,9781847246462
94,Wild Swimming Hidden Beaches: Explore the Secret Coast of Britain - Wild Swimming 2 (Paperback),[],sports-leisure,9780957157378
95,"Get Fit, Get Healthy, Get Happy: The Ultimate Guide to Being in the Best Shape of Your Life: Signed Edition (Paperback)","[<p><strong>Signed Edition - a standard edition is available <a href=""/book/get-fit-get-healthy-get-happy/mark-wright/9780008458393"">here</a></strong></p>, <p>The ultimate fitness book from TV and radio presenter, and former footballer, Mark Wright.</p>, <p>Sport and fitness have always played a big part TV presenter Mark Wright's life. He began his fitness journey as a professional football player for the Tottenham Hotspur youth team before moving into entertainment. More often than not, he has found himself helping his friends and family to get and stay fit too. But since lockdown he has been a man on a mission.</p>, <p>Feeling bored and sluggish during lockdown, Mark gave himself the target of doing a live workout on Instagram every weekday morning, often with sports stars or entertainers. Hundreds of thousands followed 'TRAINWRIGHT' every day - alongside quadruple Olympian Mo Farah, world heavy weight champion Tyson Fury, and actress Amanda Holden - with such success that Mark's workouts became an online sensation, broadcast around the world by the BBC on their social media channels.</p>, <p>Now in <em>Get Fit, Get Healthy, Get Happy</em>, Mark introduces readers to his fitness philosophy, a simple formula for a healthy lifestyle: live well, eat well and exercise well. Mark is a big fan of the home workout and firmly believes you can lose weight, keep fit and build strength without going to the gym. Healthy habits for life can begin with small changes - getting enough sleep, eating nutritious but tasty meals at home, developing a positive attitude to wellness and building short blasts of regular exercise. Consistency is key, but he also knows that fun is a big factor.</p>, <p>This book is the gateway to feeling fit and fantastic, with Mark as your cheerleader you can achieve the body you have always wanted. Using positive affirmations, he can help you to change your mindset, eat better and get fit too. With weekly exercise plans and fresh and delicious recipes, this book is a complete programme for anyone who wants to live their best and healthiest life.</p>]",sports-leisure,2928377053765
96,Why the Germans Do it Better: Notes from a Grown-Up Country (Paperback),"[<p><strong>Longlisted for the <a href=""/category/cultural-highlights/book-awards/the-orwell-prize"">Orwell Prize for Political Writing</a> 2021</strong></p>, <p>Emerging from a collection of city states 150 years ago, no other country has had as turbulent a history as Germany or enjoyed so much prosperity in such a short time frame. Today, as much of the world succumbs to authoritarianism and democracy is undermined from its heart, Germany stands as a bulwark for decency and stability.<br/><br/>Mixing personal journey and anecdote with compelling empirical evidence, this is a critical and entertaining exploration of the country many in the West still love to hate. Raising important questions for our post-Brexit landscape, Kampfner asks why, despite its faults, Germany has become a model for others to emulate, while Britain fails to tackle contemporary challenges. Part memoir, part history, part travelogue, <i>Why the Germans Do It Better </i>is a rich and witty portrait of an eternally fascinating country.</p>]",history,9781786499783
97,Pandora's Jar: Women in the Greek Myths (Paperback),"[<p>The Greek myths are among the world's most important cultural building blocks and they have been retold many times, but rarely do they focus on the remarkable women at the heart of these ancient stories.</p>, <p>Stories of gods and monsters are the mainstay of epic poetry and Greek tragedy, from Homer to Aeschylus, Sophocles and Euripides, from the Trojan War to Jason and the Argonauts. And still, today, a wealth of novels, plays and films draw their inspiration from stories first told almost three thousand years ago. But modern tellers of Greek myth have usually been men, and have routinely shown little interest in telling women's stories. And when they do, those women are often painted as monstrous, vengeful or just plain evil. But Pandora - the first woman, who according to legend unloosed chaos upon the world - was not a villain, and even Medea and Phaedra have more nuanced stories than generations of retellings might indicate.</p>, <p>Now, in <em>Pandora's Jar</em>, Natalie Haynes - broadcaster, writer and passionate classicist - redresses this imbalance. Taking Pandora and her jar (the box came later) as the starting point, she puts the women of the Greek myths on equal footing with the menfolk. After millennia of stories telling of gods and men, be they Zeus or Agamemnon, Paris or Odysseus, Oedipus or Jason, the voices that sing from these pages are those of Hera, Athena and Artemis, and of Clytemnestra, Jocasta, Eurydice and Penelope.</p>]",history,9781509873142
98,"The Ratline: Love, Lies and Justice on the Trail of a Nazi Fugitive (Paperback)","[<p><strong><a href=""/campaign/books-of-the-month#non-fiction"">Waterstones Non-Fiction Book of the Month</a> for May 2021</strong></p>, <p><strong>Exclusive Edition - includes extra chapter</strong><strong><br/></strong></p>, <p><strong>A standard edition is available <a href=""/book/the-ratline/philippe-sands/9781474608145"">here</a>.</strong></p>, <p><strong>Shortlisted for the <a href=""/category/cultural-highlights/book-awards/the-waterstones-book-of-the-year""><strong>Waterstones Bo</strong>ok of the Year</a> 2020</strong></p>, <p>In this riveting real-life thriller, Philippe Sands offers a unique account of the daily life of senior Nazi SS Brigadefuhrer Otto Freiherr von Wachter and his wife, Charlotte. Drawing on a remarkable archive of family letters and diaries, he unveils a fascinating insight into life before and during the war, as a fugitive on the run in the Alps and then in Rome, and into the Cold War.</p>, <p>Eventually the door is unlocked to a mystery that haunts Wachter's youngest son, who continues to believe his father was a good man - what happened to Otto Wachter while he was preparing to travel to Argentina on the 'ratline', assisted by a Vatican bishop, and what was the explanation for his sudden and unexpected death?</p>]",history,9781474624640
99,Agent Sonya (Paperback),"[<p><strong>Shortlisted for the <a href=""/category/cultural-highlights/book-awards/the-cwa-daggers"">ALCS Gold Dagger for Non-Fiction</a> 2021.<br/></strong></p>, <p>The incredible story of the greatest female spy in history, from one of Britain's most acclaimed historians - available for pre-order now</p>, <p>In the quiet Cotswolds village of Great Rollright in 1944, a thin, and unusually elegant, housewife emerged from her cottage to go on her usual bike ride. A devoted mother-of-three, attentive wife and friendly neighbour, Sonya Burton seemed to epitomise rural British domesticity.</p>, <p>However, rather than pedalling towards the shops with her ration book, Sonya was heading for the Oxfordshire countryside to gather scientific secrets from a nuclear physicist. Secrets that would enable the Soviet Union to build the atomic bomb.</p>, <p>Far from an obedient homemaker, Sonya Burton was a dedicated communist, a decorated colonel and a veteran spy who risked her life to keep the Soviet Union in the nuclear arms race. Her husband was also a Soviet agent and her children had three different fathers from lovers she'd encountered throughout her incredible career.</p>, <p>In <i>Agent Sonya</i>, Ben Macintyre reveals the astonishing story behind the most important woman spy in history and the huge emotional cost that came with being a mother, a wife, and a secret agent at once.</p>]",history,9780241986950
100,Becoming (Paperback),"[<p>Now including a “Note to Self” letter to her younger self, a book club guide with 20 discussion questions and a 5 question Q&amp;A with Michelle Obama.</p>, <p>In her memoir, a work of deep reflection and mesmerizing storytelling, Michelle Obama invites readers into her world, chronicling the experiences that have shaped her-from her childhood on the South Side of Chicago to her years as an executive balancing the demands of motherhood and work, to her time spent at the world’s most famous address. With unerring honesty and lively wit, she describes her triumphs and her disappointments, both public and private, telling her full story as she has lived it-in her own words and on her own terms.</p>]",history,9780241982976
101,Operation Pedestal: The Fleet That Battled to Malta 1942 (Hardback),"[<p>An epic, intimate new account of one of the greatest naval dramas of World War II, from number one bestselling historian Max Hastings.</p>, <p>Operation Pedestal was a crucial relief mission that became an epic, bloody naval battle and a pivotal moment in the Second World War. In 1942, the Luftwaffe had a stranglehold on Malta. In the months of April and May, they dropped more bombs on the island than on London in the entire Blitz. British attempts to bring in supplies and reinforcements were failing with heavy losses, and the people on Malta were closing in on starvation as the Axis attempted to force their surrender.</p>, <p>Operation Pedestal saw an armada of fifty British ships, painstakingly loaded with food and medical supplies, ammunition and fuel, attempt to fight its way in convoy to the island. The ensuing battle was brutal on both sides, Italian submarines and German planes dealing serious damage alongside the naval skirmishing. Over the course of a few fierce days, Britain scraped a victory and ensured Malta's survival - though at the loss of a horrifying number of ships and lives. It was an emblematic moment when, in the cruel accountancy of war, the price was worth paying.</p>, <p>In his signature brilliant style, Max Hastings gives a thrilling narrative of this little-known but crucial naval battle, retelling the intense action which perfectly encapsulates the spirit and power of the Royal Navy, surely the fiercest and most iconic fighting force of WW2.</p>]",history,9780008364946
102,Why I'm No Longer Talking to White People About Race (Paperback),"[<p><strong>Waterstones <a href=""/campaign/books-of-the-month#non-fiction"">Non-Fiction Book of the Month</a> for July 2020<br/></strong></p>, <p><strong>Winner of the <a href=""/category/cultural-highlights/book-awards/the-british-book-awards"">British Book Awards</a> Non Fiction Narrative Book of the Year 2018</strong></p>, <p><strong>Winner of the <a href=""/category/cultural-highlights/book-awards/jhalak-prize"">Jhalak Prize</a> for Book of the Year by a Writer of Colour 2018</strong></p>, <p><a href=""https://www.waterstones.com/category/cultural-highlights/book-awards/the-orwell-prize""><strong>Longlisted for The Orwell Prize 2018</strong></a></p>, <p><a href=""/category/cultural-highlights/book-awards/the-baillie-gifford-prize""><strong>Longlisted for the Baillie Gifford Prize for Non-Fiction 2017</strong></a></p>, <p><em>I'm no longer engaging with white people on the topic of race. Not all white people, just the vast majority who refuse to accept the legitimacy of structural racism and its symptoms... You can see their eyes shut down and harden. It's like treacle is poured into their ears, blocking up their ear canals. It's like they can no longer hear us.</em></p>, <p>In 2014, award-winning journalist Reni Eddo-Lodge wrote about her frustration with the way that discussions of race and racism in Britain were being led by those who weren't affected by it. She posted a piece on her blog, entitled: '<em>Why I'm No Longer Talking to White People About Race'</em>.</p>, <p>Her words hit a nerve. The post went viral and comments flooded in from others desperate to speak up about their own experiences. Galvanised by this clear hunger for open discussion, she decided to dig into the source of these feelings.</p>, <p>Exploring issues from eradicated black history to the political purpose of white dominance, whitewashed feminism to the inextricable link between class and race, Reni Eddo-Lodge offers a timely and essential new framework for how to see, acknowledge and counter racism.</p>, <p>It is a searing, illuminating, absolutely necessary exploration of what it is to be a person of colour in Britain today.<span style=""color: #1d1c1d; font-family: Slack-Lato, appleLogo, sans-serif; font-size: 15px; font-variant-ligatures: common-ligatures; background-color: #f8f8f8;""><br/></span></p>]",history,9781408870587
103,Cilka's Journey (Paperback),"[<p><strong>Shortlisted for the <a href=""/category/cultural-highlights/book-awards/the-british-book-awards"">British Book Awards</a> Fiction Book of the Year 2020</strong></p>, <p>Her beauty saved her life - and condemned her.</p>, <p>Cilka is just sixteen years old when she is taken to Auschwitz-Birkenau Concentration Camp, in 1942. The Commandant at Birkenau, Schwarzhuber, notices her long beautiful hair, and forces her separation from the other women prisoners. Cilka learns quickly that power, even unwillingly given, equals survival.</p>, <p>After liberation, Cilka is charged as a collaborator for sleeping with the enemy and sent to Siberia. But what choice did she have? And where did the lines of morality lie for Cilka, who was sent to Auschwitz when still a child?</p>, <p>In a Siberian prison camp, Cilka faces challenges both new and horribly familiar, including the unwanted attention of the guards. But when she makes an impression on a woman doctor, Cilka is taken under her wing. Cilka begins to tend to the ill in the camp, struggling to care for them under brutal conditions. Cilka finds endless resources within herself as she daily confronts death and faces terror. And when she nurses a man called Ivan, Cilka finds that despite everything that has happened to her, there is room in her heart for love.</p>, <p>'She was the bravest person I ever met.' - Lale Sokolov, <em>The Tattooist of Auschwitz</em></p>]",history,9781785769054
104,Natives: Race and Class in the Ruins of Empire  (Paperback),"[<p>A searing modern polemic and <i>Sunday Times</i> bestseller from the BAFTA and MOBO award-winning musician and political commentator, Akala.</p>, <p>From the first time he was stopped and searched as a child, to the day he realised his mum was white, to his first encounters with racist teachers - race and class have shaped Akala's life and outlook. In this unique book he takes his own experiences and widens them out to look at the social, historical and political factors that have left us where we are today.</p>, <p>Covering everything from the police, education and identity to politics, sexual objectification and the far right, <i>Natives</i> will speak directly to British denial and squeamishness when it comes to confronting issues of race and class that are at the heart of the legacy of Britain's racialised empire.</p>]",history,9781473661233
105,Ancestors: A prehistory of Britain in seven burials (Hardback),"[<p><i>This book is about belonging: about walking in ancient places, in the footsteps of the ancestors. It's about reaching back in time, to find ourselves, and our place in the world.</i></p>, <p>We often think of Britain springing from nowhere with the arrival of the Romans. But in <i>Ancestors</i>, pre-eminent archaeologist, broadcaster and academic Professor Alice Roberts explores what we can learn about the very earliest Britons - from their burial sites. Although we have very little evidence of what life was like in prehistorical times, here their stories are told through the bones and funerary offerings left behind, preserved in the ground for thousands of years.</p>, <p>Told through seven fascinating burial sites, this groundbreaking prehistory of Britain teaches us more about ourselves and our history: how people came and went; how we came to be on this island.</p>]",history,9781471188015
106,The Anarchy: The Relentless Rise of the East India Company (Paperback),"[<p><b><em>The Times</em> History Book of the Year</b></p>, <p><b>Longlisted for the <a href=""/category/cultural-highlights/book-awards/the-baillie-gifford-prize"">Baillie Gifford Prize for Non-fiction</a> 2019</b></p>, <p>In August 1765 the East India Company defeated the young Mughal emperor and forced him to establish a new administration in his richest provinces. Run by English merchants who collected taxes using a ruthless private army, this new regime saw the East India Company transform itself from an international trading corporation into something much more unusual: an aggressive colonial power in the guise of a multinational business.</p>, <p>William Dalrymple tells the remarkable story of the East India Company as it has never been told before, unfolding a timely cautionary tale of the first global corporate power.</p>]",history,9781408864395
107,A Curious History of Sex (Paperback),"[<p><em>This is not a comprehensive study of every sexual quirk, kink and ritual across all cultures throughout time, as that would entail writing an encyclopaedia. Rather, this is a drop in the ocean, a paddle in the shallow end of sex history, but I hope you will get pleasantly wet nonetheless.</em></p>, <p>The act of sex has not changed since people first worked out what went where, but the ways in which society dictates how sex is culturally understood and performed have varied significantly through the ages. Humans are the only creatures that stigmatise particular sexual practices, and sex remains a deeply divisive issue around the world. Attitudes will change and grow - hopefully for the better - but sex will never be free of stigma or shame unless we acknowledge where it has come from.</p>, <p>Based on the popular research project <em>Whores of Yore</em>, and written with her distinctive humour and wit, <em>A Curious History of Sex </em>draws upon Dr Kate Lister's extensive knowledge of sex history. From medieval impotence tests to twentieth-century testicle thefts, from the erotic frescoes of Pompeii, to modern-day sex doll brothels, Kate unashamedly roots around in the pants of history, debunking myths, challenging stereotypes and generally getting her hands dirty.</p>, <p>This fascinating book is peppered with surprising and informative historical slang, and illustrated with eye-opening, toe-curling and meticulously sourced images from the past.</p>, <p>You will laugh, you will wince and you will wonder just how much has actually changed.</p>]",history,9781783529711
108,The Crew: The Story of a Lancaster Bomber Crew (Paperback),"[<p>A moving tribute to the sacrifice and bravery of the fliers of RAF Bomber Command.</p>, <p><i>The Crew</i>, based on interviews with Ken Cook, the crew's sole surviving member, recounts the wartime exploits of the members of an Avro Lancaster crew between 1942 and the war's end. Gloucestershire-born bomb aimer Ken Cook, hard-bitten Australian pilot Jim Comans, Navigator Don Bowes, Upper Gunner George Widdis, Tail Gunner 'Jock' Bolland, Flight Engineer Ken Randle and Radio Operator Roy Woollford were seven ordinary young men living in extraordinary times, risking their lives in freedom's cause in the dark skies above Hitler's Reich.</p>, <p>From their earliest beginnings - in places as far apart as a Cotswold village and the suburbs of Sydney - through the adventure of training in North America and the dread and danger of the forty-five bombing raids they flew with 97 Squadron, David Price describes the crew's wartime experiences with human sympathy allied to a secure technical understanding of one of the RAF's most iconic aircraft. The drama and anxiety of individual missions - to Kassel, Munich and Augsburg as well as Berlin - is evoked with thrilling immediacy; while the military events and strategic decisions that drove the RAF's area bombing campaign against Nazi Germany are interwoven deftly with the narrative of the crew's operational careers.</p>]",history,9781789542714
109,House of Glass: The Story and Secrets of a Twentieth-Century Jewish Family (Paperback),"[<p><strong><a href=""/campaign/books-of-the-month#non-fiction"">Waterstones Non-Fiction Book of the Month</a> for March 2021</strong></p>, <p><em>I stood up to shut the closet door and that's when I spotted the shoebox right at the back, behind a pile of leather handbags ... surely I thought it would contain another pair of slightly battered kitten heel sandals. So I sat on the floor, pulled it out and opened it. I did not find shoes. Instead it was filled with secrets my grandmother had managed to keep all her life and some years beyond.</em></p>, <p>When Hadley Freeman found a shoebox filled with her French grandmother's treasured belongings, it started a decade-long quest to find out their haunting significance and to dig deep into the extraordinary lives of her grandmother, Sala, and her three siblings, Henri, Jacques and Alex Glass. The search takes Hadley from Picasso's archives in Paris to a secret room in a farmhouse in Auvergne to Long Island and to Aushwitz.</p>, <p>Hadley had only really known that her grandmother had met her American grandfather through her brother Alex in Paris, and that she travelled to America to marry him in the late 1930s. But by piecing together letters, photos and an unpublished memoir, Hadley is able to thrillingly recount the full story of all the Glass siblings - Alex's past as a fashion couturier and friend of Dior and Chagall, trusting and brave Jacques, a fierce patriot for his adopted country, the brilliant Henri who hid out in place after place in occupied Paris - and about each of their bids for survival during the Second World War. She discovers her great uncles' extraordinary acts of courage in Vichy France alongside her grandmother's equally heroic but more private form of female self-sacrifice.</p>, <p>Addressing themes of assimilation, identity, and home this powerful story of the past explores issues that are deeply relevant today. A moving memoir following the journey of the Glass siblings throughout the course of the twentieth-century, <em>House of Glass</em> is a thrilling account of love, loss, family and belonging.</p>]",history,9780008322663
110,Sapiens: A Brief History of Humankind (Paperback),"[<p><em>Is there anything more dangerous than dissatisfied and irresponsible gods who don’t know what they want?</em></p>, <p>Planet Earth is 4.5 billion years old. In just a fraction of that time, one species among countless others has conquered it. Us.</p>, <p>We are the most advanced and most destructive animals ever to have lived. What makes us brilliant? What makes us deadly? What makes us Sapiens?</p>, <p>In this bold and provocative book, Yuval Noah Harari explores who we are, how we got here and where we're going. <em>Sapiens</em> is a thrilling account of humankind's extraordinary history - from the Stone Age to the Silicon Age - and our journey from insignificant apes to rulers of the world.</p>, <p>A specialist in World History, military history and medieval history, Yuval Noah Harari is best known for his investigations into macro-historical questions concerning the relationship between history and science, the origins of mankind and its future. Amongst his publications are the bestselling books <em>Sapiens </em>and <a href=""https://www.waterstones.com/book/homo-deus/yuval-noah-harari/9781910701874""><em>Homo Deus</em></a>.</p>]",history,9780099590088
111,Burning the Books: A History of Knowledge Under Attack (Paperback),"[<p><strong>Shortlisted for the <a href=""/category/cultural-highlights/book-awards/the-wolfson-history-prize"">Wolfson History Prize</a> 2021</strong></p>, <p><strong>A BBC Radio 4 Book of the Week</strong></p>, <p>Opening with the notorious bonfires of 'un-German' and Jewish literature in 1933 that offered such a clear signal of Nazi intentions, <em>Burning the Books </em>takes us on a 3000-year journey through the destruction of knowledge and the fight against all the odds to preserve it.</p>, <p>Richard Ovenden, director of the world-famous Bodleian Library, explains how attacks on libraries and archives have been a feature of history since ancient times but have increased in frequency and intensity during the modern era. Libraries are far more than stores of literature, through preserving the legal documents such as Magna Carta and records of citizenship, they also support the rule of law and the rights of citizens. Today, the knowledge they hold on behalf of society is under attack as never before. In this fascinating book, he explores everything from what really happened to the Great Library of Alexandria to the Windrush papers, from Donald Trump's deleting embarrassing tweets to John Murray's burning of Byron's memoirs in the name of censorship.</p>, <p>At once a powerful history of civilisation and a manifesto for the vital importance of physical libraries in our increasingly digital age, <em>Burning the Books </em>is also a very human story animated by an unlikely cast of adventurers, self-taught archaeologists, poets, freedom-fighters -- and, of course, librarians and the heroic lengths they will go to preserve and rescue knowledge, ensuring that civilisation survives. From the rediscovery of the Dead Sea Scrolls in the desert, hidden from the Romans and lost for almost 2000 years to the medieval manuscript that inspired William Morris, the knowledge of the past still has so many valuable lessons to teach us and we ignore it at our peril.</p>]",history,9781529378771
112,A Promised Land (Hardback),"[<p><strong>Shortlisted for the <a href=""/category/cultural-highlights/book-awards/the-british-book-awards"">British Book Awards</a> Non-Fiction Narrative Book of the Year 2021</strong></p>, <p>A riveting, deeply personal account of history in the making-from the president who inspired us to believe in the power of democracy.</p>, <p class=""MsoNormal""><span style=""mso-fareast-language: EN-GB;"">In the stirring, highly anticipated first volume of his presidential memoirs, Barack Obama tells the story of his improbable odyssey from young man searching for his identity to leader of the free world, describing in strikingly personal detail both his political education and the landmark moments of the first term of his historic presidency-a time of dramatic transformation and turmoil.</span></p>, <p class=""MsoNormal""><span style=""mso-fareast-language: EN-GB;"">Obama takes readers on a compelling journey from his earliest political aspirations to the pivotal Iowa caucus victory that demonstrated the power of grassroots activism to the watershed night of November 4, 2008, when he was elected 44th president of the United States, becoming the first African American to hold the nation's highest office.</span></p>, <p class=""MsoNormal""><span style=""mso-fareast-language: EN-GB;"">Reflecting on the presidency, he offers a unique and thoughtful exploration of both the awesome reach and the limits of presidential power, as well as singular insights into the dynamics of U.S. partisan politics and international diplomacy. Obama brings readers inside the Oval Office and the White House Situation Room, and to Moscow, Cairo, Beijing, and points beyond. We are privy to his thoughts as he assembles his cabinet, wrestles with a global financial crisis, takes the measure of Vladimir Putin, overcomes seemingly insurmountable odds to secure passage of the Affordable Care Act, clashes with generals about U.S. strategy in Afghanistan, tackles Wall Street reform, responds to the devastating Deepwater Horizon blowout, and authorizes Operation Neptune's Spear, which leads to the death of Osama bin Laden.</span></p>, <p class=""MsoNormal""><span style=""mso-fareast-language: EN-GB;""><em>A Promised Land</em> is extraordinarily intimate and introspective-the story of one man's bet with history, the faith of a community organizer tested on the world stage. Obama is candid about the balancing act of running for office as a Black American, bearing the expectations of a generation buoyed by messages of ""hope and change,"" and meeting the moral challenges of high-stakes decision-making. He is frank about the forces that opposed him at home and abroad, open about how living in the White House affected his wife and daughters, and unafraid to reveal self-doubt and disappointment. Yet he never wavers from his belief that inside the great, ongoing American experiment, progress is always possible.</span></p>, <p class=""MsoNormal""><span style=""mso-fareast-language: EN-GB;"">This beautifully written and powerful book captures Barack Obama's conviction that democracy is not a gift from on high but something founded on empathy and common understanding and built together, day by day.</span><o:p></o:p></p>, <p class=""MsoNormal""><span style=""mso-fareast-language: EN-GB;""> </span><o:p></o:p></p>]",history,9780241491515
113,Barbarossa: How Hitler Lost the War (Hardback),"[<p>Operation Barbarossa, Hitler's invasion of Russia in June 1941, aimed at nothing less than a war of extermination to annihilate Soviet communism, liquidate the Jews and create Lebensraum for the German master race. But it led to the destruction of the Third Reich, and was cataclysmic for Germany with millions of men killed, wounded or registered as missing in action. It was this colossal mistake -- rather than any action in Western Europe -- that lost Hitler the Second World War.</p>, <p>Drawing on hitherto unseen archival material, including previously untranslated Russian sources, Jonathan Dimbleby puts Barbarossa in its proper place in history for the first time. From its origins in the ashes of the First World War to its impact on post-war Europe, and covering the military, political and diplomatic story from all sides, he paints a full and vivid picture of this monumental campaign whose full nature and impact has remained unexplored.</p>, <p>At the heart of the narrative, written in Dimbleby's usual gripping style, are compelling descriptions of the leaders who made the crucial decisions, of the men and women who fought on the front lines, of the soldiers who committed heinous crimes on an unparalleled scale and of those who were killed when the Holocaust began. Hitler's fatal gamble had the most terrifying of consequences.</p>, <p>Written with authority and humanity, <em>Barbarossa </em>is a masterwork that transforms our understanding of the Second World War and of the twentieth century.</p>]",history,9780241291474
114,Ancestors: A pre-history of Britain in seven burials: Signed Bookplate Edition (Hardback),"[<p><strong>Signed Bookplate Edition<br/></strong></p>, <p><strong>A standard edition is available <a href=""/book/ancestors/alice-roberts/9781471188015"">here</a></strong></p>, <p><i>This book is about belonging: about walking in ancient places, in the footsteps of the ancestors. It's about reaching back in time, to find ourselves, and our place in the world.</i></p>, <p>We often think of Britain springing from nowhere with the arrival of the Romans. But in <i>Ancestors</i>, pre-eminent archaeologist, broadcaster and academic Professor Alice Roberts explores what we can learn about the very earliest Britons - from their burial sites. Although we have very little evidence of what life was like in prehistorical times, here their stories are told through the bones and funerary offerings left behind, preserved in the ground for thousands of years.</p>, <p>Told through seven fascinating burial sites, this groundbreaking prehistory of Britain teaches us more about ourselves and our history: how people came and went; how we came to be on this island.</p>]",history,2928377056025
115,Operation Pedestal: The Fleet That Battled to Malta 1942: Signed Edition (Hardback),"[<p><strong>Signed Edition.</strong></p>, <p><strong>A standard edition is available <a href=""/book/operation-pedestal/max-hastings/9780008364946"">here</a>.</strong></p>, <p>An epic, intimate new account of one of the greatest naval dramas of World War II, from number one bestselling historian Max Hastings.</p>, <p>Operation Pedestal was a crucial relief mission that became an epic, bloody naval battle and a pivotal moment in the Second World War. In 1942, the Luftwaffe had a stranglehold on Malta. In the months of April and May, they dropped more bombs on the island than on London in the entire Blitz. British attempts to bring in supplies and reinforcements were failing with heavy losses, and the people on Malta were closing in on starvation as the Axis attempted to force their surrender.</p>, <p>Operation Pedestal saw an armada of fifty British ships, painstakingly loaded with food and medical supplies, ammunition and fuel, attempt to fight its way in convoy to the island. The ensuing battle was brutal on both sides, Italian submarines and German planes dealing serious damage alongside the naval skirmishing. Over the course of a few fierce days, Britain scraped a victory and ensured Malta's survival - though at the loss of a horrifying number of ships and lives. It was an emblematic moment when, in the cruel accountancy of war, the price was worth paying.</p>, <p>In his signature brilliant style, Max Hastings gives a thrilling narrative of this little-known but crucial naval battle, retelling the intense action which perfectly encapsulates the spirit and power of the Royal Navy, surely the fiercest and most iconic fighting force of WW2.</p>]",history,9780008470296
